0.80,2.00,2.66,3.19,3.59,3.99,3.99,3.99,3.99,3.99
0.79,1.59,2.00,2.70,3.19,3.19,3.59,3.59,3.99,3.99
0.40,0.81,1.40,2.00,2.36,2.69,3.04,3.19,3.40,3.59
0.39,0.79,1.33,1.66,2.00,2.38,2.85,2.87,3.12,3.19
0.00,0.41,0.85,1.23,1.59,2.00,2.27,2.52,2.76,2.92
0.00,0.01,0.77,1.15,1.48,1.67,2.00,2.29,2.65,2.65
0.00,0.39,0.57,0.83,1.14,1.43,1.67,2.00,2.22,2.41
0.00,0.00,0.43,0.78,1.04,1.27,1.62,1.71,2.00,2.19
0.00,0.00,0.40,0.54,0.83,1.09,1.31,1.57,1.73,2.00
0.00,0.00,0.39,0.41,0.77,1.02,1.21,1.39,1.65,1.76
